method,fraction,condition,ews,mean_tau,mean_nonseq,mean_seq,mean_lead,n_nets
random,0.3,SIS $D$ desc,Vrel,0.9232,0.57,0.995,0.8101,40
random,0.3,SIS $D$ desc,CVrel,0.993,1.0,1.0,0.6668,40
random,0.4,SIS $D$ desc,V,0.6071,0.175,0.805,0.7895,40
random,0.4,SIS $D$ desc,CV,0.9964,1.0,1.0,0.8108,40
random,0.4,SIS $D$ desc,Vdelta,0.9674,0.845,1.0,0.8118,40
random,0.4,SIS $D$ desc,Vrel,0.926,0.585,1.0,0.8076,40
random,0.4,SIS $D$ desc,CVrel,0.9938,1.0,1.0,0.6662,40
random,0.5,SIS $D$ desc,V,0.6093,0.17,0.815,0.7945,40
random,0.5,SIS $D$ desc,CV,0.997,1.0,1.0,0.8115,40
random,0.5,SIS $D$ desc,Vdelta,0.9681,0.85,1.0,0.8079,40
random,0.5,SIS $D$ desc,Vrel,0.9259,0.57,1.0,0.8083,40
random,0.5,SIS $D$ desc,CVrel,0.9943,1.0,1.0,0.6695,40
random,0.6,SIS $D$ desc,V,0.6058,0.175,0.84,0.7991,40
random,0.6,SIS $D$ desc,CV,0.9971,1.0,1.0,0.8124,40
random,0.6,SIS $D$ desc,Vdelta,0.9701,0.85,1.0,0.8104,40
random,0.6,SIS $D$ desc,Vrel,0.9284,0.56,1.0,0.8085,40
random,0.6,SIS $D$ desc,CVrel,0.9944,1.0,1.0,0.6678,40
random,0.7,SIS $D$ desc,V,0.6062,0.175,0.855,0.7969,40
random,0.7,SIS $D$ desc,CV,0.9974,1.0,1.0,0.8137,40
random,0.7,SIS $D$ desc,Vdelta,0.9715,0.855,1.0,0.8102,40
random,0.7,SIS $D$ desc,Vrel,0.9283,0.57,1.0,0.8088,40
random,0.7,SIS $D$ desc,CVrel,0.9945,1.0,1.0,0.6696,40
random,0.8,SIS $D$ desc,V,0.6108,0.175,0.86,0.7996,40
random,0.8,SIS $D$ desc,CV,0.9976,1.0,1.0,0.8134,40
random,0.8,SIS $D$ desc,Vdelta,0.9734,0.865,1.0,0.8085,40
random,0.8,SIS $D$ desc,Vrel,0.9285,0.555,1.0,0.8086,40
random,0.8,SIS $D$ desc,CVrel,0.9946,1.0,1.0,0.6704,40
random,0.9,SIS $D$ desc,V,0.6088,0.175,0.865,0.8057,40
random,0.9,SIS $D$ desc,CV,0.9978,1.0,1.0,0.8146,40
random,0.9,SIS $D$ desc,Vdelta,0.9735,0.86,1.0,0.8085,40
random,0.9,SIS $D$ desc,Vrel,0.9295,0.545,1.0,0.8083,40
random,0.9,SIS $D$ desc,CVrel,0.9948,1.0,1.0,0.6697,40
random,1.0,SIS $D$ desc,V,0.6098,0.175,0.875,0.8064,40
random,1.0,SIS $D$ desc,CV,0.9979,1.0,1.0,0.816,40
random,1.0,SIS $D$ desc,Vdelta,0.9741,0.85,1.0,0.8085,40
random,1.0,SIS $D$ desc,Vrel,0.9295,0.55,1.0,0.8085,40
random,1.0,SIS $D$ desc,CVrel,0.9949,1.0,1.0,0.6693,40
largeb,0.05,SIS $D$ desc,V,0.9549,0.825,0.975,0.7544,40
largeb,0.05,SIS $D$ desc,CV,0.9808,1.0,1.0,0.7256,40
largeb,0.05,SIS $D$ desc,Vdelta,0.9546,0.85,0.975,0.8002,40
largeb,0.05,SIS $D$ desc,Vrel,0.96,0.85,0.975,0.8004,40
largeb,0.05,SIS $D$ desc,CVrel,0.9777,1.0,1.0,0.6931,40
largeb,0.1,SIS $D$ desc,V,0.9626,0.825,1.0,0.7775,40
largeb,0.1,SIS $D$ desc,CV,0.9887,1.0,1.0,0.7674,40
largeb,0.1,SIS $D$ desc,Vdelta,0.9641,0.875,1.0,0.792,40
largeb,0.1,SIS $D$ desc,Vrel,0.9696,0.875,1.0,0.7948,40
largeb,0.1,SIS $D$ desc,CVrel,0.9857,1.0,1.0,0.6968,40
largeb,0.2,SIS $D$ desc,V,0.9573,0.725,1.0,0.7975,40
largeb,0.2,SIS $D$ desc,CV,0.995,1.0,1.0,0.7925,40
largeb,0.2,SIS $D$ desc,Vdelta,0.9665,0.8,1.0,0.8027,40
largeb,0.2,SIS $D$ desc,Vrel,0.9728,0.875,1.0,0.8038,40
largeb,0.2,SIS $D$ desc,CVrel,0.9922,1.0,1.0,0.7011,40
largeb,0.3,SIS $D$ desc,V,0.944,0.65,1.0,0.7873,40
largeb,0.3,SIS $D$ desc,CV,0.9965,1.0,1.0,0.7913,40
largeb,0.3,SIS $D$ desc,Vdelta,0.9671,0.8,1.0,0.8063,40
largeb,0.3,SIS $D$ desc,Vrel,0.9723,0.85,1.0,0.8077,40
largeb,0.3,SIS $D$ desc,CVrel,0.9939,1.0,1.0,0.696,40
largeb,0.4,SIS $D$ desc,V,0.908,0.675,0.975,0.7941,40
largeb,0.4,SIS $D$ desc,CV,0.9966,1.0,1.0,0.7985,40
largeb,0.4,SIS $D$ desc,Vdelta,0.9663,0.775,1.0,0.8063,40
largeb,0.4,SIS $D$ desc,Vrel,0.9695,0.8,1.0,0.8083,40
largeb,0.4,SIS $D$ desc,CVrel,0.994,1.0,1.0,0.6898,40
largeb,0.5,SIS $D$ desc,V,0.8764,0.575,0.975,0.7975,40
largeb,0.5,SIS $D$ desc,CV,0.997,1.0,1.0,0.8029,40
largeb,0.5,SIS $D$ desc,Vdelta,0.9653,0.8,1.0,0.8083,40
largeb,0.5,SIS $D$ desc,Vrel,0.9664,0.8,1.0,0.8085,40
largeb,0.5,SIS $D$ desc,CVrel,0.9943,1.0,1.0,0.6915,40
largeb,0.6,SIS $D$ desc,V,0.8285,0.5,0.9,0.8025,40
largeb,0.6,SIS $D$ desc,CV,0.9976,1.0,1.0,0.8095,40
largeb,0.6,SIS $D$ desc,Vdelta,0.9685,0.775,1.0,0.8074,40
largeb,0.6,SIS $D$ desc,Vrel,0.9636,0.775,1.0,0.8083,40
largeb,0.6,SIS $D$ desc,CVrel,0.9944,1.0,1.0,0.6829,40
largeb,0.7,SIS $D$ desc,V,0.7865,0.4,0.875,0.8096,40
largeb,0.7,SIS $D$ desc,CV,0.9975,1.0,1.0,0.8106,40
largeb,0.7,SIS $D$ desc,Vdelta,0.9678,0.775,1.0,0.8079,40
largeb,0.7,SIS $D$ desc,Vrel,0.9602,0.75,1.0,0.8085,40
largeb,0.7,SIS $D$ desc,CVrel,0.9946,1.0,1.0,0.6788,40
largeb,0.8,SIS $D$ desc,V,0.7369,0.325,0.85,0.808,40
largeb,0.8,SIS $D$ desc,CV,0.9978,1.0,1.0,0.8118,40
largeb,0.8,SIS $D$ desc,Vdelta,0.9668,0.775,1.0,0.8085,40
largeb,0.8,SIS $D$ desc,Vrel,0.9539,0.725,1.0,0.8085,40
largeb,0.8,SIS $D$ desc,CVrel,0.9946,1.0,1.0,0.6791,40
largeb,0.9,SIS $D$ desc,V,0.6851,0.25,0.85,0.8053,40
largeb,0.9,SIS $D$ desc,CV,0.9978,1.0,1.0,0.814,40
largeb,0.9,SIS $D$ desc,Vdelta,0.9701,0.825,1.0,0.8082,40
largeb,0.9,SIS $D$ desc,Vrel,0.9451,0.65,1.0,0.8085,40
largeb,0.9,SIS $D$ desc,CVrel,0.9947,1.0,1.0,0.6726,40
largeb,1.0,SIS $D$ desc,V,0.6098,0.175,0.875,0.8064,40
largeb,1.0,SIS $D$ desc,CV,0.9979,1.0,1.0,0.816,40
largeb,1.0,SIS $D$ desc,Vdelta,0.9741,0.85,1.0,0.8085,40
largeb,1.0,SIS $D$ desc,Vrel,0.9295,0.55,1.0,0.8085,40
largeb,1.0,SIS $D$ desc,CVrel,0.9949,1.0,1.0,0.6693,40
smallb,0.05,SIS $D$ desc,V,0.0831,0.05,0.35,0.6014,40
smallb,0.05,SIS $D$ desc,CV,0.9483,0.95,1.0,0.6766,40
smallb,0.05,SIS $D$ desc,Vdelta,0.8386,0.725,0.975,0.7728,40
smallb,0.05,SIS $D$ desc,Vrel,0.7189,0.1,0.975,0.8005,40
smallb,0.05,SIS $D$ desc,CVrel,0.9732,1.0,1.0,0.6824,40
smallb,0.1,SIS $D$ desc,V,0.0614,0.05,0.425,0.6754,40
smallb,0.1,SIS $D$ desc,CV,0.9768,0.975,1.0,0.7279,40
smallb,0.1,SIS $D$ desc,Vdelta,0.8829,0.8,0.975,0.7987,40
smallb,0.1,SIS $D$ desc,Vrel,0.7527,0.125,0.975,0.8187,40
smallb,0.1,SIS $D$ desc,CVrel,0.9823,1.0,1.0,0.6979,40
smallb,0.2,SIS $D$ desc,V,0.129,0.05,0.525,0.7245,40
smallb,0.2,SIS $D$ desc,CV,0.9944,1.0,1.0,0.7679,40
smallb,0.2,SIS $D$ desc,Vdelta,0.9391,0.775,1.0,0.8078,40
smallb,0.2,SIS $D$ desc,Vrel,0.8178,0.175,1.0,0.8079,40
smallb,0.2,SIS $D$ desc,CVrel,0.9914,1.0,1.0,0.704,40
smallb,0.3,SIS $D$ desc,V,0.1919,0.05,0.6,0.7488,40
smallb,0.3,SIS $D$ desc,CV,0.9962,1.0,1.0,0.806,40
smallb,0.3,SIS $D$ desc,Vdelta,0.9475,0.775,1.0,0.8092,40
smallb,0.3,SIS $D$ desc,Vrel,0.8468,0.275,1.0,0.8092,40
smallb,0.3,SIS $D$ desc,CVrel,0.9934,1.0,1.0,0.6922,40
smallb,0.4,SIS $D$ desc,V,0.2487,0.075,0.65,0.7769,40
smallb,0.4,SIS $D$ desc,CV,0.9968,1.0,1.0,0.8076,40
smallb,0.4,SIS $D$ desc,Vdelta,0.9444,0.775,1.0,0.8082,40
smallb,0.4,SIS $D$ desc,Vrel,0.858,0.325,1.0,0.8082,40
smallb,0.4,SIS $D$ desc,CVrel,0.9938,1.0,1.0,0.6862,40
smallb,0.5,SIS $D$ desc,V,0.2537,0.1,0.575,0.7741,40
smallb,0.5,SIS $D$ desc,CV,0.9972,1.0,1.0,0.8096,40
smallb,0.5,SIS $D$ desc,Vdelta,0.9454,0.8,1.0,0.8082,40
smallb,0.5,SIS $D$ desc,Vrel,0.8709,0.325,1.0,0.8082,40
smallb,0.5,SIS $D$ desc,CVrel,0.9941,1.0,1.0,0.6823,40
smallb,0.6,SIS $D$ desc,V,0.2756,0.075,0.5,0.7787,40
smallb,0.6,SIS $D$ desc,CV,0.9972,1.0,1.0,0.8087,40
smallb,0.6,SIS $D$ desc,Vdelta,0.9597,0.85,1.0,0.8085,40
smallb,0.6,SIS $D$ desc,Vrel,0.8833,0.375,1.0,0.8105,40
smallb,0.6,SIS $D$ desc,CVrel,0.9942,1.0,1.0,0.6815,40
smallb,0.7,SIS $D$ desc,V,0.3254,0.075,0.55,0.772,40
smallb,0.7,SIS $D$ desc,CV,0.9974,1.0,1.0,0.8105,40
smallb,0.7,SIS $D$ desc,Vdelta,0.9643,0.9,1.0,0.8092,40
smallb,0.7,SIS $D$ desc,Vrel,0.8971,0.4,1.0,0.8085,40
smallb,0.7,SIS $D$ desc,CVrel,0.9943,1.0,1.0,0.6776,40
smallb,0.8,SIS $D$ desc,V,0.3267,0.1,0.575,0.7919,40
smallb,0.8,SIS $D$ desc,CV,0.9975,1.0,1.0,0.8119,40
smallb,0.8,SIS $D$ desc,Vdelta,0.9657,0.875,1.0,0.8105,40
smallb,0.8,SIS $D$ desc,Vrel,0.9035,0.5,1.0,0.8105,40
smallb,0.8,SIS $D$ desc,CVrel,0.9944,1.0,1.0,0.6735,40
smallb,0.9,SIS $D$ desc,V,0.3847,0.1,0.625,0.7983,40
smallb,0.9,SIS $D$ desc,CV,0.9979,1.0,1.0,0.8125,40
smallb,0.9,SIS $D$ desc,Vdelta,0.9667,0.85,1.0,0.8105,40
smallb,0.9,SIS $D$ desc,Vrel,0.909,0.5,1.0,0.8105,40
smallb,0.9,SIS $D$ desc,CVrel,0.9946,1.0,1.0,0.6709,40
smallb,1.0,SIS $D$ desc,V,0.6098,0.175,0.875,0.8064,40
smallb,1.0,SIS $D$ desc,CV,0.9979,1.0,1.0,0.816,40
smallb,1.0,SIS $D$ desc,Vdelta,0.9741,0.85,1.0,0.8085,40
smallb,1.0,SIS $D$ desc,Vrel,0.9295,0.55,1.0,0.8085,40
smallb,1.0,SIS $D$ desc,CVrel,0.9949,1.0,1.0,0.6693,40
dirb,0.05,SIS $D$ desc,V,0.0831,0.05,0.35,0.6014,40
dirb,0.05,SIS $D$ desc,CV,0.9483,0.95,1.0,0.6766,40
dirb,0.05,SIS $D$ desc,Vdelta,0.8386,0.725,0.975,0.7728,40
dirb,0.05,SIS $D$ desc,Vrel,0.7189,0.1,0.975,0.8005,40
dirb,0.05,SIS $D$ desc,CVrel,0.9732,1.0,1.0,0.6824,40
dirb,0.1,SIS $D$ desc,V,0.0614,0.05,0.425,0.6754,40
dirb,0.1,SIS $D$ desc,CV,0.9768,0.975,1.0,0.7279,40
dirb,0.1,SIS $D$ desc,Vdelta,0.8829,0.8,0.975,0.7987,40
dirb,0.1,SIS $D$ desc,Vrel,0.7527,0.125,0.975,0.8187,40
dirb,0.1,SIS $D$ desc,CVrel,0.9823,1.0,1.0,0.6979,40
dirb,0.2,SIS $D$ desc,V,0.129,0.05,0.525,0.7245,40
dirb,0.2,SIS $D$ desc,CV,0.9944,1.0,1.0,0.7679,40
dirb,0.2,SIS $D$ desc,Vdelta,0.9391,0.775,1.0,0.8078,40
dirb,0.2,SIS $D$ desc,Vrel,0.8178,0.175,1.0,0.8079,40
dirb,0.2,SIS $D$ desc,CVrel,0.9914,1.0,1.0,0.704,40
dirb,0.3,SIS $D$ desc,V,0.1919,0.05,0.6,0.7488,40
dirb,0.3,SIS $D$ desc,CV,0.9962,1.0,1.0,0.806,40
dirb,0.3,SIS $D$ desc,Vdelta,0.9475,0.775,1.0,0.8092,40
dirb,0.3,SIS $D$ desc,Vrel,0.8468,0.275,1.0,0.8092,40
dirb,0.3,SIS $D$ desc,CVrel,0.9934,1.0,1.0,0.6922,40
dirb,0.4,SIS $D$ desc,V,0.2487,0.075,0.65,0.7769,40
dirb,0.4,SIS $D$ desc,CV,0.9968,1.0,1.0,0.8076,40
dirb,0.4,SIS $D$ desc,Vdelta,0.9444,0.775,1.0,0.8082,40
dirb,0.4,SIS $D$ desc,Vrel,0.858,0.325,1.0,0.8082,40
dirb,0.4,SIS $D$ desc,CVrel,0.9938,1.0,1.0,0.6862,40
dirb,0.5,SIS $D$ desc,V,0.2537,0.1,0.575,0.7741,40
dirb,0.5,SIS $D$ desc,CV,0.9972,1.0,1.0,0.8096,40
dirb,0.5,SIS $D$ desc,Vdelta,0.9454,0.8,1.0,0.8082,40
dirb,0.5,SIS $D$ desc,Vrel,0.8709,0.325,1.0,0.8082,40
dirb,0.5,SIS $D$ desc,CVrel,0.9941,1.0,1.0,0.6823,40
dirb,0.6,SIS $D$ desc,V,0.2756,0.075,0.5,0.7787,40
dirb,0.6,SIS $D$ desc,CV,0.9972,1.0,1.0,0.8087,40
dirb,0.6,SIS $D$ desc,Vdelta,0.9597,0.85,1.0,0.8085,40
dirb,0.6,SIS $D$ desc,Vrel,0.8833,0.375,1.0,0.8105,40
dirb,0.6,SIS $D$ desc,CVrel,0.9942,1.0,1.0,0.6815,40
dirb,0.7,SIS $D$ desc,V,0.3254,0.075,0.55,0.772,40
dirb,0.7,SIS $D$ desc,CV,0.9974,1.0,1.0,0.8105,40
dirb,0.7,SIS $D$ desc,Vdelta,0.9643,0.9,1.0,0.8092,40
dirb,0.7,SIS $D$ desc,Vrel,0.8971,0.4,1.0,0.8085,40
dirb,0.7,SIS $D$ desc,CVrel,0.9943,1.0,1.0,0.6776,40
dirb,0.8,SIS $D$ desc,V,0.3267,0.1,0.575,0.7919,40
dirb,0.8,SIS $D$ desc,CV,0.9975,1.0,1.0,0.8119,40
dirb,0.8,SIS $D$ desc,Vdelta,0.9657,0.875,1.0,0.8105,40
dirb,0.8,SIS $D$ desc,Vrel,0.9035,0.5,1.0,0.8105,40
dirb,0.8,SIS $D$ desc,CVrel,0.9944,1.0,1.0,0.6735,40
dirb,0.9,SIS $D$ desc,V,0.3847,0.1,0.625,0.7983,40
dirb,0.9,SIS $D$ desc,CV,0.9979,1.0,1.0,0.8125,40
dirb,0.9,SIS $D$ desc,Vdelta,0.9667,0.85,1.0,0.8105,40
dirb,0.9,SIS $D$ desc,Vrel,0.909,0.5,1.0,0.8105,40
dirb,0.9,SIS $D$ desc,CVrel,0.9946,1.0,1.0,0.6709,40
dirb,1.0,SIS $D$ desc,V,0.6098,0.175,0.875,0.8064,40
dirb,1.0,SIS $D$ desc,CV,0.9979,1.0,1.0,0.816,40
dirb,1.0,SIS $D$ desc,Vdelta,0.9741,0.85,1.0,0.8085,40
dirb,1.0,SIS $D$ desc,Vrel,0.9295,0.55,1.0,0.8085,40
dirb,1.0,SIS $D$ desc,CVrel,0.9949,1.0,1.0,0.6693,40
halfb,0.05,SIS $D$ desc,V,0.6813,0.075,0.875,0.8047,40
halfb,0.05,SIS $D$ desc,CV,0.9897,0.975,1.0,0.7999,40
halfb,0.05,SIS $D$ desc,Vdelta,0.7986,0.35,0.975,0.8262,40
halfb,0.05,SIS $D$ desc,Vrel,0.9081,0.475,0.975,0.8262,40
halfb,0.05,SIS $D$ desc,CVrel,0.9874,1.0,1.0,0.6621,40
halfb,0.1,SIS $D$ desc,V,0.6642,0.1,0.9,0.8161,40
halfb,0.1,SIS $D$ desc,CV,0.9924,1.0,1.0,0.806,40
halfb,0.1,SIS $D$ desc,Vdelta,0.8354,0.45,0.975,0.8262,40
halfb,0.1,SIS $D$ desc,Vrel,0.9133,0.45,0.975,0.8262,40
halfb,0.1,SIS $D$ desc,CVrel,0.9908,1.0,1.0,0.6677,40
halfb,0.2,SIS $D$ desc,V,0.647,0.125,0.925,0.7963,40
halfb,0.2,SIS $D$ desc,CV,0.9939,1.0,1.0,0.8113,40
halfb,0.2,SIS $D$ desc,Vdelta,0.8767,0.65,0.975,0.8262,40
halfb,0.2,SIS $D$ desc,Vrel,0.9175,0.5,0.975,0.8262,40
halfb,0.2,SIS $D$ desc,CVrel,0.9923,1.0,1.0,0.6697,40
halfb,0.3,SIS $D$ desc,V,0.6365,0.15,0.925,0.7998,40
halfb,0.3,SIS $D$ desc,CV,0.9954,1.0,1.0,0.8092,40
halfb,0.3,SIS $D$ desc,Vdelta,0.9018,0.65,1.0,0.8066,40
halfb,0.3,SIS $D$ desc,Vrel,0.9208,0.525,1.0,0.8066,40
halfb,0.3,SIS $D$ desc,CVrel,0.9936,1.0,1.0,0.6692,40
halfb,0.4,SIS $D$ desc,V,0.624,0.15,0.9,0.8026,40
halfb,0.4,SIS $D$ desc,CV,0.9962,1.0,1.0,0.8092,40
halfb,0.4,SIS $D$ desc,Vdelta,0.93,0.725,1.0,0.8069,40
halfb,0.4,SIS $D$ desc,Vrel,0.9226,0.55,1.0,0.8072,40
halfb,0.4,SIS $D$ desc,CVrel,0.9941,1.0,1.0,0.6695,40
halfb,0.5,SIS $D$ desc,V,0.6151,0.15,0.875,0.8035,40
halfb,0.5,SIS $D$ desc,CV,0.9967,1.0,1.0,0.8132,40
halfb,0.5,SIS $D$ desc,Vdelta,0.941,0.775,1.0,0.8082,40
halfb,0.5,SIS $D$ desc,Vrel,0.9242,0.55,1.0,0.8082,40
halfb,0.5,SIS $D$ desc,CVrel,0.9946,1.0,1.0,0.6684,40
halfb,0.6,SIS $D$ desc,V,0.612,0.15,0.875,0.8022,40
halfb,0.6,SIS $D$ desc,CV,0.9969,1.0,1.0,0.8131,40
halfb,0.6,SIS $D$ desc,Vdelta,0.9508,0.825,1.0,0.8082,40
halfb,0.6,SIS $D$ desc,Vrel,0.9248,0.525,1.0,0.8082,40
halfb,0.6,SIS $D$ desc,CVrel,0.9947,1.0,1.0,0.6684,40
halfb,0.7,SIS $D$ desc,V,0.6085,0.15,0.875,0.8014,40
halfb,0.7,SIS $D$ desc,CV,0.9972,1.0,1.0,0.8125,40
halfb,0.7,SIS $D$ desc,Vdelta,0.9611,0.825,1.0,0.8082,40
halfb,0.7,SIS $D$ desc,Vrel,0.9259,0.525,1.0,0.8082,40
halfb,0.7,SIS $D$ desc,CVrel,0.9946,1.0,1.0,0.668,40
halfb,0.8,SIS $D$ desc,V,0.6083,0.175,0.875,0.8018,40
halfb,0.8,SIS $D$ desc,CV,0.9975,1.0,1.0,0.8131,40
halfb,0.8,SIS $D$ desc,Vdelta,0.9686,0.85,1.0,0.8092,40
halfb,0.8,SIS $D$ desc,Vrel,0.9271,0.55,1.0,0.8092,40
halfb,0.8,SIS $D$ desc,CVrel,0.9948,1.0,1.0,0.668,40
halfb,0.9,SIS $D$ desc,V,0.6088,0.175,0.875,0.8022,40
halfb,0.9,SIS $D$ desc,CV,0.9978,1.0,1.0,0.8151,40
halfb,0.9,SIS $D$ desc,Vdelta,0.9724,0.85,1.0,0.8092,40
halfb,0.9,SIS $D$ desc,Vrel,0.9282,0.55,1.0,0.8092,40
halfb,0.9,SIS $D$ desc,CVrel,0.9949,1.0,1.0,0.669,40
halfb,1.0,SIS $D$ desc,V,0.6098,0.175,0.875,0.8064,40
halfb,1.0,SIS $D$ desc,CV,0.9979,1.0,1.0,0.816,40
halfb,1.0,SIS $D$ desc,Vdelta,0.9741,0.85,1.0,0.8085,40
halfb,1.0,SIS $D$ desc,Vrel,0.9295,0.55,1.0,0.8085,40
halfb,1.0,SIS $D$ desc,CVrel,0.9949,1.0,1.0,0.6693,40
equidist,0.05,SIS $D$ desc,V,0.6965,0.075,0.825,0.7797,40
equidist,0.05,SIS $D$ desc,CV,0.99,1.0,1.0,0.7973,40
equidist,0.05,SIS $D$ desc,Vdelta,0.9302,0.725,0.975,0.8262,40
equidist,0.05,SIS $D$ desc,Vrel,0.9183,0.525,0.975,0.8262,40
equidist,0.05,SIS $D$ desc,CVrel,0.9876,1.0,1.0,0.6548,40
equidist,0.1,SIS $D$ desc,V,0.6667,0.125,0.825,0.7776,40
equidist,0.1,SIS $D$ desc,CV,0.9925,1.0,1.0,0.802,40
equidist,0.1,SIS $D$ desc,Vdelta,0.9578,0.8,0.975,0.8262,40
equidist,0.1,SIS $D$ desc,Vrel,0.9177,0.5,0.975,0.8262,40
equidist,0.1,SIS $D$ desc,CVrel,0.99,1.0,1.0,0.6613,40
equidist,0.2,SIS $D$ desc,V,0.6408,0.175,0.85,0.7764,40
equidist,0.2,SIS $D$ desc,CV,0.9949,1.0,1.0,0.8087,40
equidist,0.2,SIS $D$ desc,Vdelta,0.9702,0.875,1.0,0.8069,40
equidist,0.2,SIS $D$ desc,Vrel,0.9227,0.55,1.0,0.8082,40
equidist,0.2,SIS $D$ desc,CVrel,0.9921,1.0,1.0,0.6612,40
equidist,0.3,SIS $D$ desc,V,0.6198,0.175,0.8,0.7768,40
equidist,0.3,SIS $D$ desc,CV,0.9967,1.0,1.0,0.8087,40
equidist,0.3,SIS $D$ desc,Vdelta,0.973,0.85,1.0,0.8079,40
equidist,0.3,SIS $D$ desc,Vrel,0.9279,0.55,1.0,0.8079,40
equidist,0.3,SIS $D$ desc,CVrel,0.9941,1.0,1.0,0.6683,40
equidist,0.4,SIS $D$ desc,V,0.6088,0.175,0.825,0.7817,40
equidist,0.4,SIS $D$ desc,CV,0.9964,1.0,1.0,0.8109,40
equidist,0.4,SIS $D$ desc,Vdelta,0.9739,0.85,1.0,0.8082,40
equidist,0.4,SIS $D$ desc,Vrel,0.9269,0.55,1.0,0.8085,40
equidist,0.4,SIS $D$ desc,CVrel,0.9932,1.0,1.0,0.6678,40
equidist,0.5,SIS $D$ desc,V,0.6193,0.175,0.875,0.7939,40
equidist,0.5,SIS $D$ desc,CV,0.9968,1.0,1.0,0.8142,40
equidist,0.5,SIS $D$ desc,Vdelta,0.974,0.85,1.0,0.8082,40
equidist,0.5,SIS $D$ desc,Vrel,0.928,0.525,1.0,0.8082,40
equidist,0.5,SIS $D$ desc,CVrel,0.9941,1.0,1.0,0.6702,40
equidist,0.6,SIS $D$ desc,V,0.6117,0.175,0.9,0.7929,40
equidist,0.6,SIS $D$ desc,CV,0.9973,1.0,1.0,0.8135,40
equidist,0.6,SIS $D$ desc,Vdelta,0.974,0.85,1.0,0.8085,40
equidist,0.6,SIS $D$ desc,Vrel,0.9288,0.525,1.0,0.8085,40
equidist,0.6,SIS $D$ desc,CVrel,0.9948,1.0,1.0,0.6677,40
equidist,0.7,SIS $D$ desc,V,0.6164,0.175,0.85,0.7967,40
equidist,0.7,SIS $D$ desc,CV,0.9977,1.0,1.0,0.8123,40
equidist,0.7,SIS $D$ desc,Vdelta,0.9731,0.85,1.0,0.8085,40
equidist,0.7,SIS $D$ desc,Vrel,0.9287,0.575,1.0,0.8085,40
equidist,0.7,SIS $D$ desc,CVrel,0.9945,1.0,1.0,0.6693,40
equidist,0.8,SIS $D$ desc,V,0.61,0.175,0.875,0.8023,40
equidist,0.8,SIS $D$ desc,CV,0.9977,1.0,1.0,0.8117,40
equidist,0.8,SIS $D$ desc,Vdelta,0.9736,0.875,1.0,0.8082,40
equidist,0.8,SIS $D$ desc,Vrel,0.9281,0.55,1.0,0.8082,40
equidist,0.8,SIS $D$ desc,CVrel,0.9944,1.0,1.0,0.6694,40
equidist,0.9,SIS $D$ desc,V,0.6145,0.175,0.85,0.8087,40
equidist,0.9,SIS $D$ desc,CV,0.9979,1.0,1.0,0.816,40
equidist,0.9,SIS $D$ desc,Vdelta,0.9745,0.85,1.0,0.8085,40
equidist,0.9,SIS $D$ desc,Vrel,0.93,0.55,1.0,0.8082,40
equidist,0.9,SIS $D$ desc,CVrel,0.9947,1.0,1.0,0.67,40
equidist,1.0,SIS $D$ desc,V,0.6098,0.175,0.875,0.8064,40
equidist,1.0,SIS $D$ desc,CV,0.9979,1.0,1.0,0.816,40
equidist,1.0,SIS $D$ desc,Vdelta,0.9741,0.85,1.0,0.8085,40
equidist,1.0,SIS $D$ desc,Vrel,0.9295,0.55,1.0,0.8085,40
equidist,1.0,SIS $D$ desc,CVrel,0.9949,1.0,1.0,0.6693,40
smallcv,0.05,SIS $D$ desc,V,0.9528,0.8,1.0,0.7448,40
smallcv,0.05,SIS $D$ desc,CV,0.9845,1.0,1.0,0.7378,40
smallcv,0.05,SIS $D$ desc,Vdelta,0.9616,0.85,1.0,0.8114,40
smallcv,0.05,SIS $D$ desc,Vrel,0.9646,0.875,1.0,0.8117,40
smallcv,0.05,SIS $D$ desc,CVrel,0.9832,1.0,1.0,0.6932,40
smallcv,0.1,SIS $D$ desc,V,0.9612,0.75,1.0,0.7763,40
smallcv,0.1,SIS $D$ desc,CV,0.993,1.0,1.0,0.7746,40
smallcv,0.1,SIS $D$ desc,Vdelta,0.9659,0.825,1.0,0.8066,40
smallcv,0.1,SIS $D$ desc,Vrel,0.9721,0.875,1.0,0.8083,40
smallcv,0.1,SIS $D$ desc,CVrel,0.9897,1.0,1.0,0.6885,40
smallcv,0.2,SIS $D$ desc,V,0.9558,0.675,1.0,0.8003,40
smallcv,0.2,SIS $D$ desc,CV,0.9952,1.0,1.0,0.7999,40
smallcv,0.2,SIS $D$ desc,Vdelta,0.966,0.8,1.0,0.8083,40
smallcv,0.2,SIS $D$ desc,Vrel,0.9723,0.875,1.0,0.8086,40
smallcv,0.2,SIS $D$ desc,CVrel,0.9924,1.0,1.0,0.6929,40
smallcv,0.3,SIS $D$ desc,V,0.9202,0.65,0.95,0.7992,40
smallcv,0.3,SIS $D$ desc,CV,0.9962,1.0,1.0,0.8005,40
smallcv,0.3,SIS $D$ desc,Vdelta,0.9672,0.8,1.0,0.8079,40
smallcv,0.3,SIS $D$ desc,Vrel,0.9716,0.85,1.0,0.8082,40
smallcv,0.3,SIS $D$ desc,CVrel,0.9933,1.0,1.0,0.6901,40
smallcv,0.4,SIS $D$ desc,V,0.896,0.625,0.975,0.8006,40
