method,fraction,condition,ews,mean_tau,mean_nonseq,mean_seq,mean_lead,n_nets
dirb,0.8,DW $D$ asc,V,0.8891,1.0,1.0,0.4589,40
dirb,0.8,DW $D$ asc,CV,0.8653,0.975,0.975,0.375,40
dirb,0.8,DW $D$ asc,Vdelta,0.8861,0.95,0.95,0.4341,40
dirb,0.8,DW $D$ asc,Vrel,0.8867,0.95,0.95,0.4347,40
dirb,0.8,DW $D$ asc,CVrel,0.8636,0.925,0.925,0.3122,40
dirb,0.9,DW $D$ asc,V,0.8879,1.0,1.0,0.4626,40
dirb,0.9,DW $D$ asc,CV,0.8631,0.975,0.975,0.3891,40
dirb,0.9,DW $D$ asc,Vdelta,0.8867,0.95,0.95,0.4342,40
dirb,0.9,DW $D$ asc,Vrel,0.8875,0.95,0.95,0.4318,40
dirb,0.9,DW $D$ asc,CVrel,0.8629,0.925,0.925,0.3099,40
dirb,1.0,DW $D$ asc,V,0.8857,1.0,1.0,0.4716,40
dirb,1.0,DW $D$ asc,CV,0.8589,0.975,0.975,0.4193,40
dirb,1.0,DW $D$ asc,Vdelta,0.8851,0.95,0.95,0.4207,40
dirb,1.0,DW $D$ asc,Vrel,0.8859,0.95,0.95,0.4178,40
dirb,1.0,DW $D$ asc,CVrel,0.8611,0.925,0.925,0.3146,40
halfb,0.05,DW $D$ asc,V,0.4696,0.5,0.55,0.2772,40
halfb,0.05,DW $D$ asc,CV,0.4406,0.35,0.35,0.2125,40
halfb,0.05,DW $D$ asc,Vdelta,0.4761,0.5,0.525,0.2832,40
halfb,0.05,DW $D$ asc,Vrel,0.4799,0.5,0.5,0.2889,40
halfb,0.05,DW $D$ asc,CVrel,0.4433,0.4,0.4,0.1908,40
halfb,0.1,DW $D$ asc,V,0.5452,0.675,0.7,0.3273,40
halfb,0.1,DW $D$ asc,CV,0.5118,0.475,0.5,0.3578,40
halfb,0.1,DW $D$ asc,Vdelta,0.578,0.65,0.65,0.2915,40
halfb,0.1,DW $D$ asc,Vrel,0.5837,0.65,0.575,0.291,40
halfb,0.1,DW $D$ asc,CVrel,0.5465,0.425,0.35,0.3445,40
halfb,0.2,DW $D$ asc,V,0.6972,0.85,0.85,0.3346,40
halfb,0.2,DW $D$ asc,CV,0.6621,0.575,0.575,0.2936,40
halfb,0.2,DW $D$ asc,Vdelta,0.7358,0.8,0.8,0.3574,40
halfb,0.2,DW $D$ asc,Vrel,0.7403,0.8,0.8,0.3441,40
halfb,0.2,DW $D$ asc,CVrel,0.7035,0.675,0.6,0.3089,40
halfb,0.3,DW $D$ asc,V,0.7449,0.875,0.875,0.3693,40
halfb,0.3,DW $D$ asc,CV,0.7128,0.75,0.775,0.2837,40
halfb,0.3,DW $D$ asc,Vdelta,0.7767,0.85,0.85,0.3589,40
halfb,0.3,DW $D$ asc,Vrel,0.7813,0.875,0.85,0.3572,40
halfb,0.3,DW $D$ asc,CVrel,0.7487,0.775,0.7,0.2671,40
halfb,0.4,DW $D$ asc,V,0.7627,0.875,0.9,0.3914,40
halfb,0.4,DW $D$ asc,CV,0.7314,0.75,0.75,0.3185,40
halfb,0.4,DW $D$ asc,Vdelta,0.7948,0.875,0.875,0.3193,40
halfb,0.4,DW $D$ asc,Vrel,0.7985,0.875,0.875,0.3195,40
halfb,0.4,DW $D$ asc,CVrel,0.7682,0.775,0.775,0.2616,40
halfb,0.5,DW $D$ asc,V,0.7839,0.9,0.9,0.395,40
halfb,0.5,DW $D$ asc,CV,0.7528,0.825,0.825,0.3081,40
halfb,0.5,DW $D$ asc,Vdelta,0.8107,0.9,0.875,0.3267,40
halfb,0.5,DW $D$ asc,Vrel,0.8134,0.9,0.875,0.322,40
halfb,0.5,DW $D$ asc,CVrel,0.7847,0.875,0.825,0.2432,40
halfb,0.6,DW $D$ asc,V,0.821,0.95,0.95,0.4294,40
halfb,0.6,DW $D$ asc,CV,0.7915,0.875,0.875,0.3474,40
halfb,0.6,DW $D$ asc,Vdelta,0.8382,0.925,0.925,0.3279,40
halfb,0.6,DW $D$ asc,Vrel,0.84,0.925,0.925,0.3271,40
halfb,0.6,DW $D$ asc,CVrel,0.8136,0.85,0.825,0.2714,40
halfb,0.7,DW $D$ asc,V,0.8367,0.975,0.975,0.4575,40
halfb,0.7,DW $D$ asc,CV,0.8079,0.925,0.925,0.396,40
halfb,0.7,DW $D$ asc,Vdelta,0.8487,0.925,0.925,0.3842,40
halfb,0.7,DW $D$ asc,Vrel,0.8507,0.925,0.925,0.3972,40
halfb,0.7,DW $D$ asc,CVrel,0.825,0.875,0.825,0.293,40
halfb,0.8,DW $D$ asc,V,0.8603,1.0,1.0,0.4461,40
halfb,0.8,DW $D$ asc,CV,0.8316,0.975,0.975,0.396,40
halfb,0.8,DW $D$ asc,Vdelta,0.8654,0.925,0.925,0.4131,40
halfb,0.8,DW $D$ asc,Vrel,0.8673,0.925,0.925,0.4129,40
halfb,0.8,DW $D$ asc,CVrel,0.8417,0.875,0.85,0.3123,40
halfb,0.9,DW $D$ asc,V,0.8762,1.0,1.0,0.476,40
