cond,Lprime,ns_mean,ns_std,sq_mean,sq_std
DW $D$ asc,147,0.2075,0.40552,0.175,0.37997
DW $D$ asc,148,0.205,0.4037,0.1675,0.37342
DW $D$ asc,149,0.205,0.4037,0.1675,0.37342
DW $D$ asc,150,0.2125,0.40908,0.175,0.37997
DW $D$ asc,151,0.2125,0.40908,0.165,0.37118
DW $D$ asc,152,0.2125,0.40908,0.1625,0.36891
DW $D$ asc,153,0.205,0.4037,0.175,0.37997
DW $D$ asc,154,0.205,0.4037,0.17,0.37563
DW $D$ asc,155,0.205,0.4037,0.175,0.37997
DW $D$ asc,156,0.205,0.4037,0.1725,0.37781
DW $D$ asc,157,0.205,0.4037,0.175,0.37997
DW $D$ asc,158,0.2025,0.40186,0.18,0.38419
DW $D$ asc,159,0.205,0.4037,0.1775,0.38209
DW $D$ asc,160,0.2075,0.40552,0.175,0.37997
DW $D$ asc,161,0.205,0.4037,0.1775,0.38209
DW $D$ asc,162,0.2025,0.40186,0.18,0.38419
DW $D$ asc,163,0.205,0.4037,0.18,0.38419
DW $D$ asc,164,0.205,0.4037,0.1775,0.38209
DW $D$ asc,165,0.2075,0.40552,0.19,0.3923
DW $D$ asc,166,0.2125,0.40908,0.19,0.3923
DW $D$ asc,167,0.2125,0.40908,0.185,0.3883
DW $D$ asc,168,0.21,0.40731,0.185,0.3883
DW $D$ asc,169,0.2075,0.40552,0.185,0.3883
DW $D$ asc,170,0.21,0.40731,0.18,0.38419
DW $D$ asc,171,0.2075,0.40552,0.1875,0.39031
DW $D$ asc,172,0.2075,0.40552,0.1875,0.39031
DW $D$ asc,173,0.205,0.4037,0.1825,0.38626
DW $D$ asc,174,0.205,0.4037,0.1825,0.38626
DW $D$ asc,175,0.2025,0.40186,0.1825,0.38626
DW $D$ asc,176,0.2,0.4,0.1825,0.38626
DW $D$ asc,177,0.2,0.4,0.185,0.3883
DW $D$ asc,178,0.2,0.4,0.1825,0.38626
DW $D$ asc,179,0.2025,0.40186,0.1825,0.38626
DW $D$ asc,180,0.2,0.4,0.1825,0.38626
DW $D$ asc,181,0.2,0.4,0.1825,0.38626
DW $D$ asc,182,0.1975,0.39811,0.18,0.38419
DW $D$ asc,183,0.1975,0.39811,0.185,0.3883
DW $D$ asc,184,0.1975,0.39811,0.18,0.38419
DW $D$ asc,185,0.2,0.4,0.18,0.38419
DW $D$ asc,186,0.2025,0.40186,0.1775,0.38209
DW $D$ asc,187,0.2,0.4,0.1825,0.38626
DW $D$ asc,188,0.2,0.4,0.18,0.38419
DW $D$ asc,189,0.205,0.4037,0.1825,0.38626
DW $D$ asc,190,0.1975,0.39811,0.1825,0.38626
DW $D$ asc,191,0.2025,0.40186,0.1925,0.39426
DW $D$ asc,192,0.2,0.4,0.1875,0.39031
DW $D$ asc,193,0.2,0.4,0.1925,0.39426
DW $D$ asc,194,0.2,0.4,0.1875,0.39031
DW $D$ asc,195,0.2025,0.40186,0.19,0.3923
DW $D$ asc,196,0.2,0.4,0.19,0.3923
DW $D$ asc,197,0.2025,0.40186,0.195,0.3962
DW $D$ asc,198,0.2025,0.40186,0.195,0.3962
DW $D$ asc,199,0.2,0.4,0.1875,0.39031
DW $D$ asc,200,0.2025,0.40186,0.185,0.3883
DW $D$ desc,2,0.0875,0.28257,0.1025,0.3033
DW $D$ desc,3,0.125,0.33072,0.1325,0.33903
DW $D$ desc,4,0.1425,0.34956,0.1375,0.34437
DW $D$ desc,5,0.1625,0.36891,0.1675,0.37342
DW $D$ desc,6,0.175,0.37997,0.175,0.37997
DW $D$ desc,7,0.2,0.4,0.2,0.4
DW $D$ desc,8,0.2225,0.41593,0.22,0.41425
DW $D$ desc,9,0.2375,0.42555,0.235,0.424
DW $D$ desc,10,0.2375,0.42555,0.235,0.424
DW $D$ desc,11,0.2575,0.43726,0.23,0.42083
DW $D$ desc,12,0.26,0.43863,0.26,0.43863
DW $D$ desc,13,0.28,0.449,0.25,0.43301
DW $D$ desc,14,0.3,0.45826,0.2775,0.44777
DW $D$ desc,15,0.2925,0.45491,0.2625,0.43999
DW $D$ desc,16,0.3125,0.46351,0.28,0.449
DW $D$ desc,17,0.3325,0.47111,0.29,0.45376
DW $D$ desc,18,0.3275,0.4693,0.2825,0.45022
DW $D$ desc,19,0.3575,0.47926,0.28,0.449
DW $D$ desc,20,0.3675,0.48212,0.3,0.45826
DW $D$ desc,21,0.3675,0.48212,0.305,0.46041
DW $D$ desc,22,0.365,0.48143,0.3075,0.46146
DW $D$ desc,23,0.375,0.48412,0.3025,0.45934
DW $D$ desc,24,0.3925,0.48831,0.3075,0.46146
DW $D$ desc,25,0.3875,0.48718,0.3225,0.46743
DW $D$ desc,26,0.39,0.48775,0.31,0.46249
DW $D$ desc,27,0.405,0.49089,0.325,0.46837
DW $D$ desc,28,0.42,0.49356,0.3475,0.47618
DW $D$ desc,29,0.415,0.49272,0.345,0.47537
DW $D$ desc,30,0.4275,0.49472,0.35,0.47697
DW $D$ desc,31,0.4225,0.49396,0.36,0.48
DW $D$ desc,32,0.4325,0.49542,0.36,0.48
DW $D$ desc,33,0.435,0.49576,0.3675,0.48212
DW $D$ desc,34,0.435,0.49576,0.3775,0.48476
DW $D$ desc,35,0.4525,0.49774,0.3775,0.48476
DW $D$ desc,36,0.4525,0.49774,0.3725,0.48347
DW $D$ desc,37,0.4525,0.49774,0.38,0.48539
DW $D$ desc,38,0.4525,0.49774,0.39,0.48775
DW $D$ desc,39,0.455,0.49797,0.3775,0.48476
DW $D$ desc,40,0.465,0.49877,0.4025,0.4904
DW $D$ desc,41,0.475,0.49937,0.3975,0.48938
DW $D$ desc,42,0.4725,0.49924,0.4125,0.49228
DW $D$ desc,43,0.47,0.4991,0.4325,0.49542
DW $D$ desc,44,0.4775,0.49949,0.43,0.49508
DW $D$ desc,45,0.495,0.49997,0.425,0.49434
DW $D$ desc,46,0.5025,0.49999,0.435,0.49576
DW $D$ desc,47,0.5175,0.49969,0.4425,0.49668
DW $D$ desc,48,0.5,0.5,0.4375,0.49608
DW $D$ desc,49,0.5025,0.49999,0.435,0.49576
DW $D$ desc,50,0.51,0.4999,0.445,0.49697
DW $D$ desc,51,0.525,0.49937,0.4525,0.49774
DW $D$ desc,52,0.525,0.49937,0.4525,0.49774
DW $D$ desc,53,0.5275,0.49924,0.445,0.49697
DW $D$ desc,54,0.5325,0.49894,0.45,0.49749
DW $D$ desc,55,0.5225,0.49949,0.445,0.49697
DW $D$ desc,56,0.5425,0.49819,0.445,0.49697
DW $D$ desc,57,0.5525,0.49724,0.4525,0.49774
DW $D$ desc,58,0.55,0.49749,0.47,0.4991
DW $D$ desc,59,0.5525,0.49724,0.4525,0.49774
DW $D$ desc,60,0.555,0.49697,0.4675,0.49894
DW $D$ desc,61,0.55,0.49749,0.48,0.4996
DW $D$ desc,62,0.545,0.49797,0.4775,0.49949
DW $D$ desc,63,0.5525,0.49724,0.4825,0.49969
DW $D$ desc,64,0.5475,0.49774,0.4825,0.49969
DW $D$ desc,65,0.55,0.49749,0.49,0.4999
DW $D$ desc,66,0.5625,0.49608,0.49,0.4999
DW $D$ desc,67,0.5675,0.49542,0.5075,0.49994
DW $D$ desc,68,0.57,0.49508,0.5025,0.49999
DW $D$ desc,69,0.56,0.49639,0.5025,0.49999
DW $D$ desc,70,0.5625,0.49608,0.5,0.5
DW $D$ desc,71,0.5675,0.49542,0.5075,0.49994
DW $D$ desc,72,0.565,0.49576,0.52,0.4996
DW $D$ desc,73,0.5925,0.49137,0.515,0.49977
DW $D$ desc,74,0.5925,0.49137,0.52,0.4996
DW $D$ desc,75,0.605,0.48885,0.5275,0.49924
DW $D$ desc,76,0.595,0.49089,0.54,0.4984
DW $D$ desc,77,0.6025,0.48938,0.5275,0.49924
DW $D$ desc,78,0.6,0.4899,0.53,0.4991
DW $D$ desc,79,0.61,0.48775,0.535,0.49877
DW $D$ desc,80,0.605,0.48885,0.525,0.49937
