cond,Lprime,mean,std
DW $u$ asc,150,0.36939,0.28334
DW $u$ asc,151,0.36951,0.28359
DW $u$ asc,152,0.36955,0.28432
DW $u$ asc,153,0.36989,0.28467
DW $u$ asc,154,0.37116,0.28449
DW $u$ asc,155,0.37106,0.28556
DW $u$ asc,156,0.37164,0.28554
DW $u$ asc,157,0.37264,0.28544
DW $u$ asc,158,0.37303,0.28657
DW $u$ asc,159,0.3743,0.28632
DW $u$ asc,160,0.37475,0.28706
DW $u$ asc,161,0.37524,0.2876
DW $u$ asc,162,0.37698,0.28719
DW $u$ asc,163,0.37769,0.28762
DW $u$ asc,164,0.37876,0.28763
DW $u$ asc,165,0.37854,0.28788
DW $u$ asc,166,0.37903,0.28795
DW $u$ asc,167,0.38005,0.28839
DW $u$ asc,168,0.38117,0.28837
DW $u$ asc,169,0.38202,0.28839
DW $u$ asc,170,0.3825,0.28919
DW $u$ asc,171,0.38341,0.2891
DW $u$ asc,172,0.38392,0.28961
DW $u$ asc,173,0.3844,0.28991
DW $u$ asc,174,0.38534,0.28994
DW $u$ asc,175,0.38628,0.29046
DW $u$ asc,176,0.38619,0.29092
DW $u$ asc,177,0.38665,0.29094
DW $u$ asc,178,0.38746,0.29033
DW $u$ asc,179,0.38787,0.29039
DW $u$ asc,180,0.38786,0.29137
DW $u$ asc,181,0.38847,0.29204
DW $u$ asc,182,0.38869,0.29209
DW $u$ asc,183,0.38892,0.29251
DW $u$ asc,184,0.39014,0.29248
DW $u$ asc,185,0.39055,0.29332
DW $u$ asc,186,0.39152,0.29305
DW $u$ asc,187,0.39216,0.29378
DW $u$ asc,188,0.39277,0.29371
DW $u$ asc,189,0.39328,0.2935
DW $u$ asc,190,0.3938,0.29395
DW $u$ asc,191,0.39431,0.29417
DW $u$ asc,192,0.39431,0.29428
DW $u$ asc,193,0.39518,0.29367
DW $u$ asc,194,0.39604,0.29314
DW $u$ asc,195,0.39674,0.29268
DW $u$ asc,196,0.39696,0.29226
DW $u$ asc,197,0.39823,0.29144
DW $u$ asc,198,0.39828,0.29191
DW $u$ asc,199,0.39832,0.29185
DW $u$ asc,200,0.39842,0.29249
DW $u$ desc,2,0.09249,0.07747
DW $u$ desc,3,0.14595,0.08838
DW $u$ desc,4,0.1799,0.09641
DW $u$ desc,5,0.20635,0.10284
DW $u$ desc,6,0.23251,0.10578
DW $u$ desc,7,0.25486,0.1106
DW $u$ desc,8,0.27419,0.11144
DW $u$ desc,9,0.29082,0.11212
DW $u$ desc,10,0.30412,0.11641
DW $u$ desc,11,0.31631,0.11858
DW $u$ desc,12,0.32842,0.12027
DW $u$ desc,13,0.33968,0.12337
DW $u$ desc,14,0.35117,0.12447
DW $u$ desc,15,0.36158,0.12594
DW $u$ desc,16,0.37195,0.12548
DW $u$ desc,17,0.38071,0.12774
DW $u$ desc,18,0.38811,0.12795
DW $u$ desc,19,0.39643,0.12989
DW $u$ desc,20,0.40467,0.13104
DW $u$ desc,21,0.41114,0.13245
DW $u$ desc,22,0.41927,0.13269
DW $u$ desc,23,0.4254,0.13411
DW $u$ desc,24,0.43203,0.13481
DW $u$ desc,25,0.43818,0.13595
DW $u$ desc,26,0.44463,0.13614
DW $u$ desc,27,0.44997,0.13723
DW $u$ desc,28,0.45606,0.13683
DW $u$ desc,29,0.46191,0.135
DW $u$ desc,30,0.46823,0.13638
DW $u$ desc,31,0.4734,0.13739
DW $u$ desc,32,0.47795,0.13724
DW $u$ desc,33,0.48272,0.13681
DW $u$ desc,34,0.48718,0.13757
