condition,ews,variant,mean_tau,std_tau,frac_good_gt0.5,n
GR $D$ desc,g2,raw,-0.457,0.758,0.22,40
GR $D$ desc,g2,delta,-0.012,0.786,0.4,40
GR $D$ desc,g2,rel,-0.179,0.636,0.2,40
GR $D$ desc,IM,raw,0.983,0.102,0.98,40
GR $D$ desc,IM,delta,-0.507,0.644,0.12,40
GR $D$ desc,IM,rel,0.505,0.609,0.65,40
GR $u$ desc,var,raw,-0.598,0.761,0.18,40
GR $u$ desc,var,delta,0.975,0.128,0.98,40
GR $u$ desc,var,rel,0.971,0.149,0.98,40
GR $u$ desc,CV,raw,0.994,0.035,1.0,40
GR $u$ desc,CV,delta,-0.872,0.276,0.02,40
GR $u$ desc,CV,rel,0.99,0.032,1.0,40
GR $u$ desc,g1,raw,0.376,0.847,0.62,40
GR $u$ desc,g1,delta,0.04,0.649,0.35,40
GR $u$ desc,g1,rel,0.283,0.602,0.48,40
GR $u$ desc,g2,raw,-0.413,0.864,0.28,40
GR $u$ desc,g2,delta,0.011,0.665,0.35,40
GR $u$ desc,g2,rel,0.208,0.684,0.5,40
GR $u$ desc,IM,raw,0.984,0.091,0.98,40
GR $u$ desc,IM,delta,0.236,0.731,0.52,40
GR $u$ desc,IM,rel,0.286,0.727,0.52,40
